Time,ObjectCount,FPS,PhysicsTime(ms),TotalMemory(MB),ActiveObjects
0.25,1000,794.3,0.0000,613,1000
0.25,1000,807.3,0.0000,613,1000
0.26,1000,806.4,0.0000,613,1000
0.26,1000,648.3,0.0000,613,1000
0.26,1000,748.9,0.0000,613,1000
0.26,1000,600.2,0.0000,613,1000
0.26,1000,636.1,0.0000,613,1000
0.26,1000,688.8,0.0000,613,1000
0.26,1000,775.9,0.0000,613,1000
0.27,1000,780.1,0.0000,613,1000
0.27,1000,803.1,0.0000,613,1000
0.27,1000,805.2,0.0000,613,1000
0.27,1000,587.4,0.2061,613,1000
0.27,1000,270.6,0.0000,613,1000
0.28,1000,744.8,0.0000,611,1000
0.28,1000,727.2,0.0000,611,1000
0.28,1000,780.5,0.0000,611,1000
0.28,1000,796.4,0.0000,611,1000
0.28,1000,794.0,0.0000,611,1000
0.28,1000,812.8,0.0000,611,1000
0.28,1000,805.7,0.0000,611,1000
0.28,1000,807.4,0.0000,611,1000
0.29,1000,805.9,0.0000,611,1000
0.29,1000,791.2,0.0000,611,1000
0.29,1000,759.8,0.0000,611,1000
0.29,1000,569.2,0.2170,611,1000
0.29,1000,765.8,0.0000,611,1000
0.29,1000,784.3,0.0000,611,1000
0.29,1000,779.8,0.0000,611,1000
0.29,1000,762.4,0.0000,611,1000
0.30,1000,801.0,0.0000,611,1000
0.30,1000,809.6,0.0000,611,1000
0.30,1000,810.3,0.0000,611,1000
0.30,1000,816.2,0.0000,611,1000
0.30,1000,791.2,0.0000,611,1000
0.30,1000,817.2,0.0000,611,1000
0.30,1000,798.5,0.0000,611,1000
0.30,1000,781.7,0.0000,611,1000
0.31,1000,735.5,0.0000,611,1000
0.31,1000,801.4,0.0000,611,1000
0.31,1000,796.4,0.0000,611,1000
0.31,1000,580.6,0.2342,611,1000
0.31,1000,800.6,0.0000,611,1000
0.31,1000,791.7,0.0000,611,1000
0.31,1000,774.0,0.0000,611,1000
0.32,1000,651.8,0.0000,611,1000
0.32,1000,635.0,0.0000,611,1000
0.32,1000,635.9,0.0000,611,1000
0.32,1000,687.2,0.0000,611,1000
0.32,1000,689.2,0.0000,611,1000
0.32,1000,794.2,0.0000,611,1000
0.32,1000,726.2,0.0000,612,1000
0.33,1000,738.6,0.0000,612,1000
0.33,1000,803.0,0.0000,612,1000
0.33,1000,770.1,0.0000,612,1000
0.33,1000,577.1,0.2289,612,1000
0.33,1000,801.9,0.0000,612,1000
0.33,1000,797.4,0.0000,612,1000
0.33,1000,796.7,0.0000,612,1000
0.33,1000,766.0,0.0000,612,1000
0.34,1000,676.3,0.0000,612,1000
0.34,1000,808.0,0.0000,612,1000
0.34,1000,789.6,0.0000,612,1000
0.34,1000,753.2,0.0000,612,1000
0.34,1000,779.8,0.0000,612,1000
0.34,1000,797.5,0.0000,612,1000
0.34,1000,801.1,0.0000,612,1000
0.35,1000,817.7,0.0000,612,1000
0.35,1000,798.4,0.0000,612,1000
0.35,1000,798.1,0.0000,612,1000
0.35,1000,582.1,0.2269,612,1000
0.35,1000,796.3,0.0000,612,1000
0.35,1000,787.6,0.0000,612,1000
0.35,1000,788.0,0.0000,612,1000
0.35,1000,794.0,0.0000,612,1000
0.36,1000,800.3,0.0000,612,1000
0.36,1000,792.5,0.0000,612,1000
0.36,1000,808.4,0.0000,612,1000
0.36,1000,787.3,0.0000,612,1000
0.36,1000,812.2,0.0000,612,1000
0.36,1000,819.7,0.0000,612,1000
0.36,1000,795.7,0.0000,612,1000
0.36,1000,803.9,0.0000,612,1000
0.37,1000,795.2,0.0000,612,1000
0.37,1000,789.6,0.0000,612,1000
0.37,1000,819.7,0.0000,612,1000
0.37,1000,574.1,0.2240,612,1000
0.37,1000,809.8,0.0000,612,1000
0.37,1000,798.9,0.0000,612,1000
0.37,1000,813.8,0.0000,612,1000
0.37,1000,799.8,0.0000,612,1000
0.38,1000,795.5,0.0000,612,1000
0.38,1000,802.4,0.0000,612,1000
0.38,1000,803.2,0.0000,612,1000
0.38,1000,799.2,0.0000,612,1000
0.38,1000,791.1,0.0000,612,1000
0.38,1000,791.5,0.0000,612,1000
0.38,1000,794.5,0.0000,612,1000
0.39,1000,730.2,0.0000,612,1000
0.39,1000,767.1,0.0000,612,1000
0.39,1000,791.2,0.0000,612,1000
0.39,1000,582.3,0.2216,612,1000
0.39,1000,813.7,0.0000,612,1000
0.39,1000,805.8,0.0000,612,1000
0.39,1000,801.9,0.0000,612,1000
0.39,1000,814.7,0.0000,612,1000
0.40,1000,803.5,0.0000,612,1000
0.40,1000,786.7,0.0000,612,1000
0.40,1000,791.4,0.0000,612,1000
0.40,1000,793.0,0.0000,612,1000
0.40,1000,804.7,0.0000,612,1000
0.40,1000,772.8,0.0000,612,1000
0.40,1000,772.9,0.0000,612,1000
0.40,1000,649.1,0.0000,612,1000
0.41,1000,711.9,0.0000,612,1000
0.41,1000,754.3,0.0000,612,1000
0.41,1000,589.8,0.2219,612,1000
0.41,1000,796.1,0.0000,613,1000
0.41,1000,819.7,0.0000,613,1000
0.41,1000,791.3,0.0000,613,1000
0.41,1000,789.8,0.0000,613,1000
0.42,1000,801.5,0.0000,613,1000
0.42,1000,739.1,0.0000,613,1000
0.42,1000,802.6,0.0000,613,1000
0.42,1000,782.7,0.0000,613,1000
0.42,1000,793.5,0.0000,613,1000
0.42,1000,707.8,0.0000,613,1000
0.42,1000,695.2,0.0000,613,1000
0.42,1000,706.9,0.0000,613,1000
0.43,1000,645.3,0.0000,613,1000
0.43,1000,715.6,0.0000,613,1000
0.43,1000,569.0,0.2466,613,1000
0.43,1000,787.6,0.0000,613,1000
0.43,1000,802.5,0.0000,613,1000
0.43,1000,800.2,0.0000,613,1000
0.43,1000,767.7,0.0000,613,1000
0.44,1000,792.0,0.0000,613,1000
0.44,1000,797.3,0.0000,613,1000
0.44,1000,808.4,0.0000,613,1000
0.44,1000,777.1,0.0000,613,1000
0.44,1000,808.7,0.0000,613,1000
0.44,1000,805.1,0.0000,613,1000
0.44,1000,786.2,0.0000,613,1000
0.44,1000,752.6,0.0000,613,1000
0.45,1000,742.5,0.0000,613,1000
0.45,1000,740.0,0.0000,613,1000
0.45,1000,672.7,0.0000,613,1000
0.45,1000,561.8,0.2335,613,1000
0.45,1000,685.6,0.0000,613,1000
0.45,1000,695.7,0.0000,613,1000
0.46,1000,280.2,0.0000,611,1000
0.46,1000,680.8,0.0000,611,1000
0.46,1000,618.3,0.0000,611,1000
0.46,1000,772.3,0.0000,611,1000
0.46,1000,794.0,0.0000,611,1000
0.46,1000,793.8,0.0000,611,1000
0.47,1000,797.8,0.0000,611,1000
0.47,1000,798.2,0.0000,611,1000
0.47,1000,795.7,0.0000,611,1000
0.47,1000,588.2,0.2032,611,1000
0.47,1000,797.5,0.0000,611,1000
0.47,1000,797.9,0.0000,611,1000
0.47,1000,779.5,0.0000,611,1000
0.47,1000,811.9,0.0000,611,1000
0.48,1000,794.9,0.0000,611,1000
0.48,1000,730.2,0.0000,611,1000
0.48,1000,792.1,0.0000,611,1000
0.48,1000,719.7,0.0000,611,1000
0.48,1000,785.8,0.0000,611,1000
0.48,1000,791.8,0.0000,611,1000
0.48,1000,781.6,0.0000,611,1000
0.48,1000,812.2,0.0000,611,1000
0.49,1000,802.3,0.0000,611,1000
0.49,1000,801.3,0.0000,611,1000
0.49,1000,774.1,0.0000,611,1000
0.49,1000,572.4,0.2404,611,1000
0.49,1000,785.2,0.0000,611,1000
0.49,1000,812.5,0.0000,611,1000
0.49,1000,799.6,0.0000,611,1000
0.50,1000,797.6,0.0000,611,1000
0.50,1000,783.4,0.0000,611,1000
0.50,1000,796.7,0.0000,611,1000
0.50,1000,797.8,0.0000,611,1000
0.50,1000,798.7,0.0000,611,1000
0.50,1000,801.4,0.0000,611,1000
0.50,1000,803.0,0.0000,611,1000
0.50,1000,811.6,0.0000,612,1000
0.51,1000,787.5,0.0000,612,1000
0.51,1000,817.1,0.0000,612,1000
0.51,1000,770.5,0.0000,612,1000
0.51,1000,579.3,0.2242,612,1000
0.51,1000,800.3,0.0000,612,1000
0.51,1000,806.2,0.0000,612,1000
0.51,1000,809.6,0.0000,612,1000
0.51,1000,803.7,0.0000,612,1000
0.52,1000,808.0,0.0000,612,1000
0.52,1000,790.5,0.0000,612,1000
0.52,1000,810.1,0.0000,612,1000
0.52,1000,804.6,0.0000,612,1000
0.52,1000,811.0,0.0000,612,1000
